stop_id,near_campus,dist_to_campus_m
1374,False,4063.8
592,False,3763.4
1455,False,6419.3
1389,False,4274.3
1373,True,392.9
934,True,134.6
40,True,2.0
292,False,2126.3
153,True,14.2
555,False,2078.2
53,True,523.3
632,False,2061.9
304,False,2112.1
435,True,1228.6
571,True,1390.9
217,True,1311.0
1105,False,4673.5
111,False,2572.7
756,True,1263.0
1039,False,4932.0
444,True,6.0
666,True,4.6
279,True,1559.5
1388,False,4247.7
425,False,4039.6
408,False,6992.7
1020,False,2743.3
378,False,3281.9
452,True,760.4
814,True,1135.5
538,False,1810.8
597,False,3398.6
634,False,1772.5
711,True,1326.6
1108,False,4664.8
82,False,3282.9
430,False,3257.2
1568,True,154.2
110,False,2441.2
617,True,1348.5
1283,False,7004.3
215,True,1037.8
946,True,877.7
1387,False,4273.7
589,False,2964.7
684,True,979.6
358,False,2142.9
1120,False,4964.7
1359,True,20.0
129,False,3273.4
1611,False,11278.7
395,False,5634.9
280,True,1320.6
360,True,3.3
218,True,1570.4
1179,True,0.0
1550,True,200.4
915,False,2382.5
322,False,4406.1
824,False,3430.3
999,False,6893.2
1025,False,2059.5
852,False,2374.3
851,False,1998.8
598,False,2992.6
1322,True,959.3
324,False,4299.9
823,False,3433.4
1170,False,6018.8
595,False,3762.8
668,True,263.4
1469,True,208.7
333,False,4366.7
1259,False,3285.5
447,True,443.9
317,False,4380.8
1427,False,1879.1
189,True,513.5
669,True,284.9
154,True,220.6
172,False,3509.7
967,True,475.5
707,False,1889.7
393,False,5011.7
1137,True,111.3
1239,False,2198.7
1618,False,8011.3
1116,False,5666.4
859,False,2269.7
501,False,1832.2
132,False,2923.0
374,False,2450.1
1026,False,1899.9
822,False,3217.3
391,False,4553.0
1319,False,2110.4
330,False,4388.3
677,True,848.1
678,True,947.2
85,False,3115.8
1280,False,6869.1
1110,False,4858.2
759,False,1918.0
1166,True,1604.4
320,False,3995.7
1595,True,138.5
515,False,4942.6
537,False,1909.1
417,False,4911.0
1609,False,10986.1
331,False,3982.9
825,False,3283.0
282,True,984.8
96,False,2525.2
103,False,2256.2
1473,True,479.4
502,False,1867.9
405,False,6404.0
1016,False,3841.5
601,False,2390.4
510,False,3273.8
131,False,3126.6
1470,True,187.6
376,False,2929.7
1321,True,885.4
1420,True,303.7
541,False,1637.0
729,False,3165.0
1279,False,6862.5
1386,False,4315.8
1050,False,4771.4
791,True,472.0
1009,False,5358.2
396,False,5693.6
917,False,2018.7
127,False,3086.3
375,False,2713.9
1397,False,3085.7
1109,False,4778.7
685,True,872.0
