stop_id,stop_name,stop_lat,stop_lon,routes,daily_trips,mean_lst_c,pct_green,pct_no_vehicle,pct_65_plus,shelter_status,lst_percentile,shelter_factor,social_vulnerability,shade_need,shade_need_rank,top20_shade_need
250,Gainesville High School Tennis Courts,29.666822,-82.343063,10,20,40.51187381228885,50.6,7.312925170068027,27.624720774385704,none,0.8095823095823096,1.5,1.0888165256526365,0.6532,99,False
956,Old Archer Road @ SW 34th Street,29.626106,-82.372174,38,57,43.47962588355655,23.5,9.41336971350614,5.387755102040816,none,0.9668304668304668,1.5,0.5862682909365985,0.6504,100,False
704,Kangaroo @ N Main St,29.666398,-82.324394,15,23,39.89907094594594,25.2,14.08811475409836,9.192399049881235,none,0.7469287469287469,1.5,0.7735085653697422,0.6482,101,False
197,Ben Hill Griffin Stadium,29.651975,-82.349049,"5,43",34,41.597900390625,44.9,30.48780487804878,0.0114639458901753,none,0.8894348894348895,1.5,0.8784434820109817,0.6458,102,False
261,Sunshine Inn,29.691449,-82.338884,6,14,39.10972377232143,33.1,11.592076302274394,26.838966202783297,unknown,0.6621621621621622,1.25,1.1556368975586597,0.6399,103,False
478,IFAS Lab,29.63828,-82.35697,"9,12,21,33,52",194,40.98661893956802,52.6,49.78902953586498,0.0,unknown,0.8513513513513513,1.25,1.2663883344795444,0.6388,104,False
1620,SW 87th Dr @ Nearside SW 27th Ln,29.628545,-82.4360931,52,12,43.154296875,22.8,0.8246527777777778,16.533758639021798,unknown,0.9582309582309583,1.25,0.6865870282875469,0.6349,105,False
1011,NW Grille Seafood,29.688528,-82.397711,"43,55",23,39.730594635009766,55.6,17.254556143445033,28.263455248290214,none,0.7297297297297297,1.5,1.3044316816922739,0.634,106,False
1504,PPG Paints Store,29.652948,-82.330865,6,14,40.381629943847656,13.4,21.14384748700173,1.9492808478425436,unknown,0.7936117936117936,1.25,0.7379744271417619,0.634,107,False
370,Gainesville High School,29.668482,-82.339024,8,16,42.447823660714285,30.9,14.08811475409836,9.192399049881235,unknown,0.9336609336609336,1.25,0.7735085653697422,0.6238,108,False
761,Sandwich Inn @ NE 16th Ave,29.666684,-82.323115,"3,15",37,39.38987938133446,37.4,18.24006834686032,13.6077655941039,none,0.6867321867321867,1.5,0.9651958455349003,0.6224,109,False
15,Center Dr @ Museum Rd,29.644019,-82.347014,"1,21,37,38,52",189,40.10525430215372,39.0,30.48780487804878,0.0114639458901753,none,0.7702702702702703,1.5,0.8784434820109817,0.6191,110,False
1101,Tower Plaza,29.658162,-82.422504,75,26,41.074068777901786,34.5,0.4123711340206186,18.689934243803744,none,0.8611793611793612,1.5,0.7311198073999927,0.6186,111,False
446,UF Health Archer Road,29.63905,-82.344089,"8,43",61,38.71212230009191,22.7,30.48780487804878,0.0114639458901753,none,0.601965601965602,1.5,0.8784434820109817,0.6131,112,False
243,Verizon Shop,29.677474,-82.339253,6,14,42.17860412597656,24.4,5.620753551575047,12.678288431061809,unknown,0.9238329238329238,1.25,0.6885985563917822,0.6012,113,False
1193,Rawlings Hall,29.646608,-82.343572,"1,9,12,33,38",252,41.94507882254464,40.3,30.48780487804878,0.0114639458901753,unknown,0.914004914004914,1.25,0.8784434820109817,0.5992,114,False
275,NW 6th St @ NW 22nd Ave,29.67277,-82.330886,"6,55",23,41.35810546875,41.0,14.08811475409836,9.192399049881235,none,0.8746928746928747,1.5,0.7735085653697422,0.5988,115,False
56,Eastbound SW 2nd Ave @ SW 2nd St,29.650203,-82.326684,1,43,39.02466517857143,23.3,25.107526881720432,1.4258389845244306,none,0.6461916461916462,1.5,0.804875941451187,0.5984,116,False
140,Alachua County Office of the State Attorney,29.652057,-82.326408,"5,10",40,38.32715503589528,7.0,10.72961373390558,13.34805299076676,none,0.5294840294840295,1.5,0.8077673645254027,0.5966,117,False
1559,Butler Plaza North,29.627096,-82.385165,23,25,39.8167961968316,18.4,15.617875056999544,3.28125,none,0.7383292383292384,1.5,0.659457471171747,0.596,118,False
564,MLK Center,29.660445,-82.305716,11,17,39.96086774553572,42.4,20.242214532871973,17.217034843999087,unknown,0.7542997542997543,1.25,1.093892743372281,0.5941,119,False
89,Lincoln Estate Neighborhood,29.640199,-82.299548,3,14,40.3984619140625,52.4,12.61942675159236,21.483491632745363,none,0.7960687960687961,1.5,1.0450941088021732,0.594,120,False
1632,Inner Road Eastbound,29.6472686,-82.3410273,1,43,40.22505018446181,31.2,30.48780487804878,0.0114639458901753,unknown,0.7825552825552825,1.25,0.8784434820109817,0.5912,121,False
64,Sugarhill Neighborhood @ SE 4th Street,29.634003,-82.316071,7,14,40.04827008928572,41.5,12.61942675159236,21.483491632745363,unknown,0.7641277641277642,1.25,1.0450941088021732,0.584,122,False
736,Wesley United Methodist Church,29.674021,-82.33484,"6,15",37,40.81235504150391,59.5,11.592076302274394,26.838966202783297,none,0.8316953316953317,1.5,1.1556368975586597,0.5839,123,False
201,West University Avenue & SW 12th St,29.651961,-82.337352,"5,10",40,40.07009548611112,18.0,21.14384748700173,1.9492808478425436,unknown,0.7665847665847666,1.25,0.7379744271417619,0.5799,124,False
735,Rena's Ballroom,29.674014,-82.332201,"6,15",37,41.61040736607143,55.3,11.592076302274394,26.838966202783297,unknown,0.8906633906633906,1.25,1.1556368975586597,0.5751,125,False
808,Hilton University of Florida Conference Center,29.635893,-82.37268,"20,21",90,46.384033203125,41.8,15.617875056999544,3.28125,none,0.9987714987714987,1.5,0.659457471171747,0.575,126,False
171,Oaks Mall @ NW 62nd Blvd,29.656792,-82.408988,"20,23,75,76",183,41.5558651194853,27.4,5.992043759323719,8.548422678138099,none,0.8869778869778869,1.5,0.5948866626722727,0.5746,127,False
